title_en,title_jp,title_romaji,author_name,author_name_jp,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids
Kokoro,こころ,Kokoro,Natsume Soseki,夏目漱石,1914,300,free,https://www.aozora.gr.jp/cards/000148/files/773_14560.html,ja,Yes,genre_novel|genre_classic
Botchan,坊っちゃん,Botchan,Natsume Soseki,夏目漱石,1906,224,free,https://www.aozora.gr.jp/cards/000148/files/752_14964.html,ja,Yes,genre_novel|genre_classic
I Am a Cat,吾輩は猫である,Wagahai wa Neko de Aru,Natsume Soseki,夏目漱石,1905,480,free,https://www.aozora.gr.jp/cards/000148/files/789_14547.html,ja,Yes,genre_novel|genre_classic
Sanshiro,三四郎,Sanshiro,Natsume Soseki,夏目漱石,1908,320,free,https://www.aozora.gr.jp/cards/000148/files/794_14946.html,ja,Yes,genre_novel|genre_classic
And Then,それから,Sorekara,Natsume Soseki,夏目漱石,1909,320,free,https://www.aozora.gr.jp/cards/000148/files/56143_50921.html,ja,Yes,genre_novel|genre_classic
Kusamakura,草枕,Kusamakura,Natsume Soseki,夏目漱石,1906,240,free,https://www.aozora.gr.jp/cards/000148/files/776_14941.html,ja,Yes,genre_novel|genre_classic
Rashomon,羅生門,Rashomon,Akutagawa Ryunosuke,芥川龍之介,1915,20,free,https://www.aozora.gr.jp/cards/000879/files/127_15260.html,ja,Yes,genre_short_story|genre_classic
The Spider's Thread,蜘蛛の糸,Kumo no Ito,Akutagawa Ryunosuke,芥川龍之介,1918,12,free,https://www.aozora.gr.jp/cards/000879/files/92_14545.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
Hell Screen,地獄変,Jigokuhen,Akutagawa Ryunosuke,芥川龍之介,1918,60,free,https://www.aozora.gr.jp/cards/000879/files/60_15129.html,ja,Yes,genre_short_story|genre_historical|genre_classic
Kappa,河童,Kappa,Akutagawa Ryunosuke,芥川龍之介,1927,120,free,https://www.aozora.gr.jp/cards/000879/files/69_14933.html,ja,Yes,genre_novel|genre_classic
