title_en,title_jp,title_romaji,author_name,author_name_jp,difficulty,jlpt_level,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids,notes
No Longer Human,人間失格,Ningen Shikkaku,Dazai Osamu,太宰治,intermediate,N2,1948,180,free,https://www.aozora.gr.jp/cards/000035/files/301_14912.html,ja,Yes,genre_novel|genre_classic,
"Run, Melos!",走れメロス,Hashire Merosu,Dazai Osamu,太宰治,beginner,N3,1940,25,free,https://www.aozora.gr.jp/cards/000035/files/1567_14913.html,ja,Yes,genre_short_story|genre_classic,
Night on the Galactic Railroad,銀河鉄道の夜,Ginga Tetsudo no Yoru,Miyazawa Kenji,宮沢賢治,intermediate,N2,1934,100,free,https://www.aozora.gr.jp/cards/000081/files/456_15050.html,ja,Yes,genre_childrens|genre_classic,
The Restaurant of Many Orders,注文の多い料理店,Chumon no Ooi Ryoriten,Miyazawa Kenji,宮沢賢治,beginner,N4,1924,20,free,https://www.aozora.gr.jp/cards/000081/files/1927_17906.html,ja,Yes,genre_short_story|genre_childrens|genre_classic,
"Gon, the Little Fox",ごん狐,Gongitsune,Niimi Nankichi,新美南吉,beginner,N4,1932,20,free,https://www.aozora.gr.jp/cards/000121/files/628_14895.html,ja,Yes,genre_short_story|genre_childrens|genre_classic,
Lemon,檸檬,Remon,Kajii Motojiro,梶井基次郎,intermediate,N2,1925,20,free,https://www.aozora.gr.jp/cards/000074/files/46349_23843.html,ja,Yes,genre_short_story|genre_classic,
Beneath the Cherry Trees,桜の樹の下には,Sakura no Ki no Shita ni wa,Kajii Motojiro,梶井基次郎,intermediate,N2,1928,10,free,https://www.aozora.gr.jp/cards/000074/files/427_19793.html,ja,Yes,genre_short_story|genre_horror|genre_classic,
The Moon Over the Mountain,山月記,Sangetsuki,Nakajima Atsushi,中島敦,advanced,N1,1942,25,free,https://www.aozora.gr.jp/cards/000119/files/624_14544.html,ja,Yes,genre_short_story|genre_classic,
The Crab Cannery Ship,蟹工船,Kani Kosen,Kobayashi Takiji,小林多喜二,advanced,N2,1929,160,free,https://www.aozora.gr.jp/cards/000156/files/1465_16805.html,ja,Yes,genre_novel|genre_classic,
Dogra Magra,ドグラ・マグラ,Dogura Magura,Yumeno Kyusaku,夢野久作,native,,1935,650,free,https://www.aozora.gr.jp/cards/000096/files/2093_28841.html,ja,Yes,genre_novel|genre_mystery|genre_horror,
Girls' Hell,少女地獄,Shojo Jigoku,Yumeno Kyusaku,夢野久作,advanced,N1,1936,250,free,https://www.aozora.gr.jp/cards/000096/files/935_23282.html,ja,Yes,genre_mystery|genre_horror|genre_classic,
Hojoki,方丈記,Hojoki,Kamo no Chomei,鴨長明,native,,1212,60,free,https://www.aozora.gr.jp/cards/000196/files/975_15935.html,ja,Yes,genre_essay|genre_classic,
A Handful of Sand,一握の砂,Ichiaku no Suna,Ishikawa Takuboku,石川啄木,advanced,N1,1910,180,free,https://www.aozora.gr.jp/cards/000153/files/816_15786.html,ja,Yes,genre_poetry|genre_classic,
The Setting Sun,斜陽,Shayo,Dazai Osamu,太宰治,intermediate,N2,1947,180,free,https://www.aozora.gr.jp/cards/000035/files/1565_8559.html,ja,Yes,genre_novel|genre_classic,
Schoolgirl,女生徒,Joseito,Dazai Osamu,太宰治,intermediate,N3,1939,60,free,https://www.aozora.gr.jp/cards/000035/files/275_13903.html,ja,Yes,genre_short_story|genre_classic,
In a Grove,藪の中,Yabu no Naka,Akutagawa Ryunosuke,芥川龍之介,advanced,N1,1922,30,free,https://www.aozora.gr.jp/cards/000879/files/179_15255.html,ja,Yes,genre_short_story|genre_mystery|genre_classic,aozora_url stored for reference only — this book_key already exists in AOZORA_BOOKS (services/book_import.py) with a different file_path (files/229_15261.html vs this row's files/179_15255.html). The hardcoded entry takes precedence at import time; this row's URL is never actually fetched.
Snow Crossing,雪渡り,Yuki Watari,Miyazawa Kenji,宮沢賢治,beginner,N4,1921,25,free,https://www.aozora.gr.jp/cards/000081/files/45679_22349.html,ja,Yes,genre_short_story|genre_childrens|genre_classic,
Gauche the Cellist,セロ弾きのゴーシュ,Sero Hiki no Goshu,Miyazawa Kenji,宮沢賢治,beginner,N4,1934,40,free,https://www.aozora.gr.jp/cards/000081/files/470_15407.html,ja,Yes,genre_short_story|genre_childrens|genre_classic,
Villon's Wife,ヴィヨンの妻,Viyon no Tsuma,Dazai Osamu,太宰治,intermediate,N2,1947,60,free,https://www.aozora.gr.jp/cards/000035/files/2253_14908.html,ja,Yes,genre_short_story|genre_classic,
Good-bye,グッド・バイ,Guddo Bai,Dazai Osamu,太宰治,intermediate,N3,1948,50,free,https://www.aozora.gr.jp/cards/000035/files/258_20179.html,ja,Yes,genre_novel|genre_classic,
Tokatonton,トカトントン,Tokatonton,Dazai Osamu,太宰治,intermediate,N3,1947,35,free,https://www.aozora.gr.jp/cards/000035/files/2285_15077.html,ja,Yes,genre_short_story|genre_classic,
Cherry,桜桃,Oto,Dazai Osamu,太宰治,intermediate,N2,1948,20,free,https://www.aozora.gr.jp/cards/000035/files/308_14910.html,ja,Yes,genre_short_story|genre_classic,
The Dark Picture Scroll,闇の絵巻,Yami no Emaki,Kajii Motojiro,梶井基次郎,intermediate,N2,1930,20,free,https://www.aozora.gr.jp/cards/000074/files/415_19818.html,ja,Yes,genre_short_story|genre_classic,
Winter Flies,冬の蠅,Fuyu no Hae,Kajii Motojiro,梶井基次郎,intermediate,N2,1928,30,free,https://www.aozora.gr.jp/cards/000074/files/416_19814.html,ja,Yes,genre_short_story|genre_classic,
