title_jp,title_en,title_romaji,author_name,author_name_jp,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids
三四郎,Sanshiro,Sanshiro,Natsume Soseki,夏目漱石,1908,384,free,https://www.aozora.gr.jp/cards/000148/files/794_14946.html,ja,true,genre_novel|genre_classic
浅草紅団,The Scarlet Gang of Asakusa,Asakusa Kurenaidan,Kawabata Yasunari,川端康成,1930,220,buy,,ja,true,genre_novel|genre_classic
ノルウェイの森,Norwegian Wood,Noruwei no Mori,Murakami Haruki,村上春樹,1987,528,buy,,ja,true,genre_novel|genre_romance|genre_contemporary
アフターダーク,After Dark,Afuta Daku,Murakami Haruki,村上春樹,2004,294,buy,,ja,true,genre_novel|genre_contemporary
コンビニ人間,Convenience Store Woman,Konbini Ningen,Murata Sayaka,村田沙耶香,2016,160,buy,,ja,true,genre_novel|genre_contemporary
JR上野駅公園口,Tokyo Ueno Station,JR Ueno-eki Koenguchi,Yu Miri,柳美里,2014,192,buy,,ja,true,genre_novel|genre_contemporary
夏物語,Breasts and Eggs,Natsu Monogatari,Kawakami Mieko,川上未映子,2019,552,buy,,ja,true,genre_novel|genre_contemporary
森崎書店の日々,Days at the Morisaki Bookshop,Morisaki Shoten no Hibi,Yagisawa Satoshi,八木沢里志,2009,224,buy,,ja,true,genre_novel|genre_contemporary
コインロッカー・ベイビーズ,Coin Locker Babies,Koin Rokka Beibizu,Murakami Ryu,村上龍,1980,510,buy,,ja,true,genre_novel|genre_contemporary
もしもし下北沢,Moshi Moshi,Moshi Moshi Shimokitazawa,Yoshimoto Banana,よしもとばなな,2010,240,buy,,ja,true,genre_novel|genre_contemporary
