title_en,title_jp,title_romaji,author_name,author_name_jp,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids
The Gate,門,,Natsume Soseki,夏目漱石,,,free,https://www.aozora.gr.jp/cards/000148/files/785_14971.html,ja,Yes,genre_novel|genre_classic
Ten Nights of Dreams,夢十夜,,Natsume Soseki,夏目漱石,,,free,https://www.aozora.gr.jp/cards/000148/files/799_14972.html,ja,Yes,genre_short_story|genre_classic
Grass on the Wayside,道草,,Natsume Soseki,夏目漱石,,,free,https://www.aozora.gr.jp/cards/000148/files/783_14967.html,ja,Yes,genre_novel|genre_classic
Light and Darkness,明暗,,Natsume Soseki,夏目漱石,,,free,https://www.aozora.gr.jp/cards/000148/files/782_14969.html,ja,Yes,genre_novel|genre_classic
Cogwheels,歯車,,Akutagawa Ryunosuke,芥川龍之介,,,free,https://www.aozora.gr.jp/cards/000879/files/42377_34745.html,ja,Yes,genre_short_story|genre_classic
Yam Gruel,芋粥,,Akutagawa Ryunosuke,芥川龍之介,,,free,https://www.aozora.gr.jp/cards/000879/files/55_14824.html,ja,Yes,genre_short_story|genre_classic
Tsugaru,津軽,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/2282_15074.html,ja,Yes,genre_memoir|genre_classic
Otogi-zoshi,お伽草紙,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/52380_44331.html,ja,Yes,genre_short_story|genre_classic
One Hundred Views of Mount Fuji,富嶽百景,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/270_14914.html,ja,Yes,genre_essay|genre_classic
Leaves,葉,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/2288_33104.html,ja,Yes,genre_short_story|genre_classic
A Record of the Metamorphosis of a Fish,魚服記,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/1563_9723.html,ja,Yes,genre_short_story|genre_classic
The Train,列車,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/312_34638.html,ja,Yes,genre_short_story|genre_classic
The World Map,地球図,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/247_19981.html,ja,Yes,genre_short_story|genre_classic
The Monkey-Faced Youth,猿面冠者,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/2263_34626.html,ja,Yes,genre_short_story|genre_classic
Ghost Fire,陰火,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/272_15101.html,ja,Yes,genre_short_story|genre_classic
Monkey Island,猿ヶ島,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/1579_19977.html,ja,Yes,genre_short_story|genre_classic
The Flowers of Buffoonery,道化の華,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/255_15100.html,ja,Yes,genre_short_story|genre_classic
Retrogression,逆行,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/260_34634.html,ja,Yes,genre_short_story|genre_classic
He Is Not What He Once Was,彼は昔の彼ならず,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/300_19945.html,ja,Yes,genre_short_story|genre_classic
Romanesque,ロマネスク,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/316_19983.html,ja,Yes,genre_short_story|genre_classic
Toys,玩具,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/257_19947.html,ja,Yes,genre_short_story|genre_classic
A Blind Man’s Chapbook,めくら草紙,,Dazai Osamu,太宰治,,,free,https://www.aozora.gr.jp/cards/000035/files/294_15086.html,ja,Yes,genre_short_story|genre_classic
The Life of Gusuko Budori,グスコーブドリの伝記,,Miyazawa Kenji,宮沢賢治,,,free,https://www.aozora.gr.jp/cards/000081/files/1924_14254.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
The Nighthawk Star,よだかの星,,Miyazawa Kenji,宮沢賢治,,,free,https://www.aozora.gr.jp/cards/000081/files/473_42318.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
Wildcat and the Acorns,どんぐりと山猫,,Miyazawa Kenji,宮沢賢治,,,free,https://www.aozora.gr.jp/cards/000081/files/43752_17657.html,ja,Yes,genre_short_story|genre_childrens|genre_classic
Polano Square,ポラーノの広場,,Miyazawa Kenji,宮沢賢治,,,free,https://www.aozora.gr.jp/cards/000081/files/1935_19925.html,ja,Yes,genre_novel|genre_classic
