title_jp,title_en,title_romaji,author_name,author_name_jp,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids
日日是好日,Every Day a Good Day,Nichiniichi Kore Kojitsu,Morishita Noriko,森下典子,2002,234,buy,,ja,true,genre_essay|genre_contemporary
茶の本,The Book of Tea,Cha no Hon,Okakura Kakuzo,岡倉覚三,1906,160,free,https://www.aozora.gr.jp/cards/000238/files/1276_31472.html,ja,true,genre_essay|genre_classic
利休にたずねよ,Ask This of Rikyu,Rikyu ni Tazuneyo,Yamamoto Kenichi,山本兼一,2008,400,buy,,ja,true,genre_novel|genre_historical
山上宗二記,Yamanoue Soji-ki,Yamanoue Soji-ki,Yamanoue Soji,山上宗二,1588,200,buy,,ja,false,genre_essay|genre_classic|genre_historical
南方録,Nanporoku,Nanporoku,Attributed to Nanbo Sokei,南坊宗啓,1686,300,buy,,ja,false,genre_essay|genre_classic|genre_historical
茶話指月集,Chawa Shigetsushu,Chawa Shigetsushu,Kusumi Soan,久須見疎安,1650,200,buy,,ja,false,genre_essay|genre_classic|genre_historical
山上宗二記入門 茶の湯秘伝書と茶人宗二,Introduction to Yamanoue Soji-ki,Yamanoue Soji-ki Nyumon,Kozu Asao,神津朝夫,2007,304,buy,,ja,false,genre_essay|genre_historical
千利休の「わび」とはなにか,What Was Sen no Rikyu's Wabi,Sen no Rikyu no Wabi to wa Nanika,Kozu Asao,神津朝夫,2005,350,buy,,ja,false,genre_essay|genre_historical
利休の茶杓,Rikyu no Chashaku,Rikyu no Chashaku,Yamamoto Kenichi,山本兼一,2012,280,buy,,ja,false,genre_novel|genre_historical
茶道古典全集,Classical Collection of the Way of Tea,Sado Koten Zenshu,Various,諸家,1956,3000,buy,,ja,false,genre_essay|genre_classic|genre_historical
