title_jp,title_en,title_romaji,author_name,author_name_jp,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids
東海道中膝栗毛,Shank's Mare,Tokaido-chu Hizakurige,Jippensha Ikku,十返舎一九,1802,450,buy,,ja,true,genre_novel|genre_classic|genre_historical
浮世風呂,The Bathhouse of the Floating World,Ukiyo Buro,Shikitei Sanba,式亭三馬,1809,400,buy,,ja,true,genre_novel|genre_classic|genre_historical
雨月物語,Tales of Moonlight and Rain,Ugetsu Monogatari,Ueda Akinari,上田秋成,1776,280,buy,,ja,true,genre_short_story|genre_classic|genre_historical
好色一代男,The Life of an Amorous Man,Koshoku Ichidai Otoko,Ihara Saikaku,井原西鶴,1682,300,buy,,ja,true,genre_novel|genre_classic|genre_historical
鬼平犯科帳,Onihei Hankachо,Onihei Hankachо,Ikenami Shotaro,池波正太郎,1967,300,buy,,ja,false,genre_novel|genre_historical
剣客商売,Kenkyaku Shobai,Kenkyaku Shobai,Ikenami Shotaro,池波正太郎,1972,280,buy,,ja,false,genre_novel|genre_historical
仕掛人・藤枝梅安,Fujieda Baian,Shikakenin Fujieda Baian,Ikenami Shotaro,池波正太郎,1972,260,buy,,ja,false,genre_novel|genre_historical
闇の歯車,Yami no Haguruma,Yami no Haguruma,Fujisawa Shuhei,藤沢周平,1985,230,buy,,ja,false,genre_novel|genre_historical
江戸おんな絵姿十二景,Edo Onna Esugata Junikei,Edo Onna Esugata Junikei,Fujisawa Shuhei,藤沢周平,1982,280,buy,,ja,false,genre_short_story|genre_historical
あきない世傳 金と銀,Akinaiden: Kin to Gin,Akinaiden Kin to Gin,Takada Kaoru,高田郁,2016,300,buy,,ja,false,genre_novel|genre_historical
