title_jp,title_en,title_romaji,author_name,author_name_jp,publication_year,page_count,availability,aozora_url,language,has_translation,genre_ids
田舎教師,The Country Teacher,Inaka Kyoshi,Tayama Katai,田山花袋,1909,260,buy,,ja,false,genre_novel|genre_classic|genre_historical
土,The Soil,Tsuchi,Nagatsuka Takashi,長塚節,1910,600,buy,,ja,false,genre_novel|genre_classic|genre_historical
千曲川のスケッチ,Sketches of the Chikuma River,Chikumagawa no Suketchi,Shimazaki Toson,島崎藤村,1912,256,free,https://www.aozora.gr.jp/cards/000158/files/1503_14594.html,ja,false,genre_essay|genre_classic
銀河鉄道の夜,Night on the Galactic Railroad,Ginga Tetsudo no Yoru,Miyazawa Kenji,宮沢賢治,1934,180,free,https://www.aozora.gr.jp/cards/000081/files/43737_19215.html,ja,true,genre_novel|genre_classic
風の又三郎,Matasaburo of the Wind,Kaze no Matasaburo,Miyazawa Kenji,宮沢賢治,1934,200,free,https://www.aozora.gr.jp/cards/000081/files/462_15405.html,ja,true,genre_novel|genre_classic
破戒,The Broken Commandment,Hakai,Shimazaki Toson,島崎藤村,1906,380,free,https://www.aozora.gr.jp/cards/000158/files/1502_24633.html,ja,true,genre_novel|genre_classic|genre_historical
ふるさとの生活,Life in the Hometown,Furusato no Seikatsu,Miyamoto Tsuneichi,宮本常一,1960,380,buy,,ja,false,genre_essay
庶民の発見,Discovering the Common People,Shomin no Hakken,Miyamoto Tsuneichi,宮本常一,1963,400,buy,,ja,false,genre_essay
農民芸術概論綱要,General Introduction to Peasant Art,Nomin Geijutsu Gairon Koyo,Miyazawa Kenji,宮沢賢治,1926,50,free,https://www.aozora.gr.jp/cards/000081/files/2386_13825.html,ja,true,genre_essay|genre_classic
注文の多い料理店,The Restaurant of Many Orders,Chumon no Oi Ryoriten,Miyazawa Kenji,宮沢賢治,1924,50,free,https://www.aozora.gr.jp/cards/000081/files/43754_17659.html,ja,true,genre_short_story|genre_classic
